NOMBRE_EMP,NOMBRE_FAE,REGIÓN_IN,PROVINCIA,COMUNA_INS,NOMBRE_INS,TIPO_INSTA,RECOBRERSO,UTM_NORTE,UTM_ESTE,ESTADO_INS,METODO_CONS,NEAR_DIST,VOL_AUTORIZADO,VOL_ACTUAL,TON_AUTORIZADO,TON_ACTUAL,RES_APRUEBA,RES_PDC_APRUEBA,RES_PDC_FECHA,RES_APRUEBA_FECHA,latitud,longitud,lat_lon_pair
SCM EL TOQUI,FAENA EL TOQUI,XI,COYHAIQUE,COYHAIQUE,TOQUI O ANTIGUO,TRANQUE DE RELAVE,ZINC,5008831.43049999,268233.763299999,INACTIVO,,60611.3420806516,331986.0,0.0,497979.0,0.0,507,252,2010-03-23 00:00:00,1983-05-04 00:00:00,-45.036057,-71.942471,"-45.036057, -71.942471"
SCM EL TOQUI,FAENA EL TOQUI,XI,COYHAIQUE,COYHAIQUE,CONFLUENCIA,TRANQUE DE RELAVE,ZINC,5009112.2702,269440.002899999,INACTIVO,,61042.3056102304,3822897.0,3909081.0,5734346.0,5863622.0,114,252,2010-03-23 00:00:00,2008-02-06 00:00:00,-45.033925,-71.927048,"-45.033925, -71.927048"
CIA. MINERA DOÃ‘A INES DE COLLAHUASI ,COLLAHUASI,I,EL TAMARUGAL,PICA,PAMPA PABELLON,EMBALSE,COBRE-MOLIBDENO,7684343.98519999,540893.126099999,ACTIVO,EMBALSE,170349.805312063,763531000.0,753865010.0,2329000000.0,1023100952.0,2408,,,2016-11-11 00:00:00,-20.940890,-68.606684,"-20.940890, -68.606684"
MINERA ESCONDIDA LTDA.,ESCONDIDA,II,ANTOFAGASTA,ANTOFAGASTA,LAGUNA SECA,EMBALSE,COBRE,7300529.36859999,487531.593799999,ACTIVO,EMBALSE,154463.288838128,3000000000.0,888974881.0,4500000000.0,1857667439.0,2282,1149,2009-06-18 00:00:00,2019-09-03 00:00:00,-24.408597,-69.122978,"-24.408597, -69.122978"
MINERA ESCONDIDA LTDA.,ESCONDIDA,II,ANTOFAGASTA,ANTOFAGASTA,HAMBURGO,TRANQUE DE RELAVE,COBRE,7313056.5629,494640.129399999,INACTIVO,,154349.39745008,320000000.0,301538056.0,480000000.0,452307084.0,1730,1149,2009-06-18 00:00:00,1993-12-03 00:00:00,-24.295494,-69.052818,"-24.295494, -69.052818"
MINERA NUEVA PUDAHUEL,PLANTA LA AFRICANA,RM,SANTIAGO,MAIPU,LA AFRICANA 1-2,TRANQUE DE RELAVE,COBRE,6296145.9374,331324.9598,INACTIVO,,15868.1433167537,1000000.0,0.0,1450000.0,0.0,S/I,2362,2002-10-07 00:00:00,S/I,-33.460868,-70.815012,"-33.460868, -70.815012"
DESCONOCIDO,DESCONOCIDO,IV,ELQUI,ANDACOLLO,DESCONOCIDO,TRANQUE DE RELAVE,COBRE-ORO,6653358.6978,298951.834699999,ABANDONADO,,2309.01666883001,16800.0,,21800.0,0.0,S/I,,,S/I,-30.234723,-71.089236,"-30.234723, -71.089236"
MINERA MERIDIAN,EL PEÃ‘ON,II,ANTOFAGASTA,ANTOFAGASTA,AMPLIACION EL PEÃ‘ON,FILTRADO,ORO-PLATA,7300074.3063,450459.1655,ACTIVO,N_A,125186.761113708,29294117.0,13109351.0,49800000.0,27233884.0,1477,137,2010-01-29 00:00:00,2010-12-14 00:00:00,-24.411968,-69.488638,"-24.411968, -69.488638"
MANTOS COOPER,MANTOS BLANCOS,II,ANTOFAGASTA,ANTOFAGASTA,MANTOS BLANCO,FILTRADO,COBRE,7406945.17179999,392272.733,ACTIVO,N_A,41636.4682144714,92133333.0,89307840.0,138200000.0,92190867.0,2101,209,2013-02-14 00:00:00,2018-07-31 00:00:00,-23.443896,-70.054626,"-23.443896, -70.054626"
CIA. MINERA NOVA VENTURA,PLANTA SANTO DOMINGO,II,ANTOFAGASTA,TALTAL,TRANQUE 3,EMBALSE,COBRE,7223276.12,349743.6,ACTIVO,EMBALSE,,,,7573112.0,,0156,,,2022-01-31 00:00:00,-25.098865,-70.490105,"-25.098865, -70.490105"
